controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
103, 633, 3.43250e+00, 9.54166e+00, 7.14036e+01, 7.14036e+01, 1.36000e+02, 6.71406e-01, 1.50446e+00, 0.00000e+00
104, 637, 3.45419e+00, 9.54019e+00, 7.25500e+01, 7.25500e+01, 1.36000e+02, 6.76609e-01, 1.56384e+00, 0.00000e+00
105, 644, 3.49215e+00, 9.52956e+00, 7.57708e+01, 7.57708e+01, 1.36000e+02, 6.87888e-01, 1.54871e+00, 0.00000e+00
106, 651, 3.53011e+00, 9.52553e+00, 7.97559e+01, 7.97559e+01, 1.36000e+02, 6.95853e-01, 1.53017e+00, 0.00000e+00
107, 656, 3.55722e+00, 9.52294e+00, 8.23762e+01, 8.23762e+01, 1.36000e+02, 6.99695e-01, 1.64413e+00, 0.00000e+00
108, 664, 3.60060e+00, 9.51470e+00, 8.37955e+01, 8.37955e+01, 1.36000e+02, 7.03313e-01, 1.62098e+00, 0.00000e+00
109, 670, 3.63314e+00, 9.51387e+00, 8.86540e+01, 8.86540e+01, 1.36000e+02, 7.02985e-01, 1.63887e+00, 0.00000e+00
110, 676, 3.66567e+00, 9.51515e+00, 9.11652e+01, 9.11652e+01, 1.36000e+02, 7.11538e-01, 1.61384e+00, 0.00000e+00
111, 681, 3.69278e+00, 9.51177e+00, 9.16565e+01, 9.16565e+01, 1.36000e+02, 7.19530e-01, 1.68725e+00, 0.00000e+00
112, 689, 3.73617e+00, 9.50705e+00, 9.20386e+01, 9.20386e+01, 1.36000e+02, 7.27141e-01, 1.67807e+00, 0.00000e+00
113, 696, 3.77412e+00, 9.50070e+00, 9.22570e+01, 9.22570e+01, 1.36000e+02, 7.32759e-01, 1.72297e+00, 0.00000e+00
114, 703, 3.81208e+00, 9.48846e+00, 9.32942e+01, 9.32942e+01, 1.36000e+02, 7.39687e-01, 1.69818e+00, 0.00000e+00
115, 708, 3.83919e+00, 9.49128e+00, 9.83710e+01, 9.83710e+01, 1.36000e+02, 7.38701e-01, 1.75031e+00, 0.00000e+00
116, 714, 3.87173e+00, 9.48581e+00, 1.02192e+02, 1.02192e+02, 1.36000e+02, 7.49300e-01, 1.76829e+00, 0.00000e+00
117, 718, 3.89342e+00, 9.47795e+00, 1.01428e+02, 1.01428e+02, 1.36000e+02, 7.59053e-01, 1.82301e+00, 0.00000e+00
118, 725, 3.93138e+00, 9.46801e+00, 1.02192e+02, 1.02192e+02, 1.36000e+02, 7.57241e-01, 1.79619e+00, 0.00000e+00
119, 728, 3.94765e+00, 9.46608e+00, 1.07542e+02, 1.07542e+02, 1.36000e+02, 7.65110e-01, 1.82504e+00, 0.00000e+00
120, 735, 3.98560e+00, 9.45827e+00, 0.00000e+00, 0.00000e+00, 7.40000e+01, 7.70068e-01, 1.90878e+00, 0.00000e+00
121, 739, 4.00729e+00, 9.45442e+00, 1.08852e+02, 1.08852e+02, 7.40000e+01, 7.75372e-01, 1.85483e+00, 0.00000e+00
122, 746, 4.04525e+00, 9.44323e+00, 1.09125e+02, 1.09125e+02, 7.40000e+01, 7.78820e-01, 1.83368e+00, 0.00000e+00
123, 753, 4.08321e+00, 9.42853e+00, 1.08852e+02, 1.08852e+02, 7.40000e+01, 7.80876e-01, 1.88675e+00, 0.00000e+00
124, 760, 4.12117e+00, 9.41883e+00, 1.10381e+02, 1.10381e+02, 7.40000e+01, 7.86842e-01, 1.87263e+00, 0.00000e+00
125, 765, 4.14828e+00, 9.40897e+00, 1.11473e+02, 1.11473e+02, 7.40000e+01, 7.97386e-01, 1.87196e+00, 0.00000e+00
126, 772, 4.18624e+00, 9.39121e+00, 1.10981e+02, 1.10981e+02, 7.40000e+01, 8.09585e-01, 1.85364e+00, 0.00000e+00
127, 778, 4.21878e+00, 9.18960e+00, 5.48629e+01, 5.48629e+01, 7.40000e+01, 4.82005e-01, 2.12408e+00, 0.00000e+00
128, 785, 4.25673e+00, 9.26681e+00, 5.54634e+01, 5.54634e+01, 7.40000e+01, 3.10828e-01, 2.45803e+00, 0.00000e+00
129, 790, 4.28385e+00, 9.34010e+00, 5.75924e+01, 5.75924e+01, 7.40000e+01, 2.32911e-01, 2.84883e+00, 0.00000e+00
130, 792, 4.29469e+00, 9.38648e+00, 4.67290e+01, 4.67290e+01, 7.40000e+01, 1.99495e-01, 3.24326e+00, 0.00000e+00
131, 798, 4.32723e+00, 9.47943e+00, 4.36173e+01, 4.36173e+01, 7.40000e+01, 1.94236e-01, 3.75415e+00, 0.00000e+00
132, 803, 4.35434e+00, 9.62559e+00, 5.50812e+01, 5.50812e+01, 7.40000e+01, 1.90535e-01, 4.04102e+00, 0.00000e+00
133, 807, 4.37603e+00, 9.67829e+00, 5.06049e+01, 5.06049e+01, 7.40000e+01, 1.90830e-01, 3.94854e+00, 0.00000e+00
134, 815, 4.41941e+00, 9.72563e+00, 5.82474e+01, 5.82474e+01, 7.40000e+01, 1.93865e-01, 3.33636e+00, 0.00000e+00
135, 820, 4.44652e+00, 9.72984e+00, 6.02127e+01, 6.02127e+01, 7.40000e+01, 1.92683e-01, 2.58034e+00, 0.00000e+00
136, 827, 4.48448e+00, 9.72090e+00, 6.63813e+01, 6.63813e+01, 7.40000e+01, 2.01935e-01, 2.19693e+00, 0.00000e+00
